,movie_title,genres,runtime_minutes,director_name,director_deathYear
78,The Mummy,"Action,Adventure,Fantasy",111.0,Alex Kurtzman,2
79,Jack the Giant Slayer,"Action,Adventure,Fantasy",114.0,Bryan Singer,2
80,Furious 7,"Action,Crime,Thriller",137.0,James Wan,2
81,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",132.0,J.J. Abrams,2
82,World War Z,"Action,Adventure,Horror",116.0,Marc Forster,2
83,The Great Gatsby,"Drama,Romance",143.0,Baz Luhrmann,2
84,Pacific Rim,"Action,Adventure,Sci-Fi",131.0,Guillermo del Toro,2
85,The Matrix Resurrections,"Action,Sci-Fi",148.0,Lana Wachowski,2
86,The Good Dinosaur,"Adventure,Animation,Comedy",93.0,Peter Sohn,2
87,Iron Man,"Action,Adventure,Sci-Fi",126.0,Jon Favreau,2
88,The Dark Knight,"Action,Crime,Drama",152.0,Christopher Nolan,2
89,Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure",122.0,Steven Spielberg,2
90,Brave,"Adventure,Animation,Comedy",93.0,-,0
91,Kong: Skull Island,"Action,Adventure,Fantasy",118.0,Jordan Vogt-Roberts,2
92,Star Trek Beyond,"Action,Adventure,Sci-Fi",122.0,Justin Lin,2
93,Maleficent: Mistress of Evil,"Adventure,Family,Fantasy",119.0,Joachim Rønning,2
94,Blade Runner 2049,"Action,Drama,Mystery",164.0,Denis Villeneuve,2
95,Terminator: Dark Fate,"Action,Adventure,Sci-Fi",128.0,Tim Miller,2
96,The Suicide Squad,"Action,Adventure,Comedy",132.0,James Gunn,2
97,Aladdin,"Adventure,Comedy,Family",128.0,Guy Ritchie,2
98,Thor: Ragnarok,"Action,Adventure,Comedy",130.0,Taika Waititi,2
99,Maleficent,"Adventure,Family,Fantasy",97.0,Robert Stromberg,2
100,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",132.0,David Yates,2
101,Rush Hour 3,"Action,Comedy,Crime",91.0,Brett Ratner,2
102,The Legend of Tarzan,"Action,Adventure,Drama",110.0,David Yates,2
103,Hugo,"Adventure,Drama,Family",126.0,Martin Scorsese,2
104,Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy",136.0,Luc Besson,2
105,Jupiter Ascending,"Action,Adventure,Sci-Fi",127.0,-,0
106,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",144.0,Bryan Singer,2
